Channel Title,Channel Username,ID,Message,Date,Media Path
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2399,"💥 እሁድ ይጀምራል እንዳያመልጥዎ 💥
#Obstetric_Ultrasound_Training#Addis_Ababa

👉ጥቅምት 3/2017ጀምሮ ለ 1 ሳምንት ይሰጣል ።(ከክህሎቱ ባሻገር የ15CEU CPD Certificate  እንሰጣለን።)
---------------------------------------------
⏩ሰልጣኞች-Medical Doctors , Medical Rad.Technologists , HO, Bsc ,& Msc Midwifery.
⏩አሰልጣኞች-Rad & OBGYN specialists .
🚩የስልጠና ቦታ-በተመረጡ ሆስፒታሎች
✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
Call & Register 
  📲Dr shalom 0965412222
   📳 Selam      0968670067
   📳 Ekram      0965410000
   📳 Tinbit       0942404444
   📳 Office        0941404444
   📳 Office        0462124400
🏃For more info .follow us on telegram :-
t.me/eahci",2024-10-11 15:32:14+00:00,photos\@EAHCI_2399.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2397,,2024-10-11 14:57:29+00:00,
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2396,"💥ዛሬ ይጀምራል
#የሞያ ፈቃድ በቅርቡ ለምታሳድሱ  💥             

#CPD_(+Online )

#ጥቅምት 1/ 2017 ይጀምራል❗️

# Infection Prevention(15 CEU)

ለሁሉም የጤና ባለሞያዎች በሁሉም ክልሎችና ከተሞች ላላችችሁ❗
--------------------------------------------

☎️0965412222
☎️0968670067
☎️0942404444
☎️0965410000
📱0941404444
☎️0462124400  
    Ethio-American CPD center & Health Consultancy.
🏃We Are Committed To Excellence In Medical Trainings❗️
-join our telegram channel 
T.me/eahci",2024-10-10 13:40:09+00:00,photos\@EAHCI_2396.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2395,"💥
#የሞያ ፈቃድ በቅርቡ ለምታሳድሱ  💥             

#CPD_(+Online )

#መስከረም 30/ 2017 ይጀምራል❗️

# Infection Prevention(15 CEU)

ለሁሉም የጤና ባለሞያዎች በሁሉም ክልሎችና ከተሞች ላላችችሁ❗
--------------------------------------------

☎️0965412222
☎️0968670067
☎️0942404444
☎️0965410000
📱0941404444
☎️0462124400  
    Ethio-American CPD center & Health Consultancy.
🏃We Are Committed To Excellence In Medical Trainings❗️
-join our telegram channel 
T.me/eahci",2024-10-09 10:46:24+00:00,photos\@EAHCI_2395.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2394,,2024-10-07 10:56:58+00:00,
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2393,"#Basic_Abdominal_Ultrasound_Training @#Hawassa 
👉ጥቅምት 2/ 2017 ጀምሮ  ይሰጣል። 
---------------------------------------------

✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
Call & Register  
   📳 0965412222 Dr shalom
   📳0965410000
   📳0942404444
   📳0941404444
🏃For more info .follow us on telegram :-
t.me/eahci",2024-10-07 08:38:38+00:00,photos\@EAHCI_2393.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2392,"💥 እሁድ ይጀምራል እንዳያመልጥዎ 💥
#Obstetric_Ultrasound_Training#Addis_Ababa

👉ጥቅምት 3/2017ጀምሮ ለ 1 ሳምንት ይሰጣል ።(ከክህሎቱ ባሻገር የ15CEU CPD Certificate  እንሰጣለን።)
---------------------------------------------
⏩ሰልጣኞች-Medical Doctors , Medical Rad.Technologists , HO, Bsc ,& Msc Midwifery.
⏩አሰልጣኞች-Rad & OBGYN specialists .
🚩የስልጠና ቦታ-በተመረጡ ሆስፒታሎች
✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
Call & Register 
  📲Dr shalom 0965412222
   📳 Selam      0968670067
   📳 Ekram      0965410000
   📳 Tinbit       0942404444
   📳 Office        0941404444
   📳 Office        0462124400
🏃For more info .follow us on telegram :-
t.me/eahci",2024-10-07 08:35:47+00:00,photos\@EAHCI_2392.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2391,"#Dental_Extraction & Care #Training #ነገ_ይጀምራል
                     @ Hawassa 
👉መስከረም 27/ 2017ጀምሮ  ይሰጣል። 
---------------------------------------------

✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .

Call & Register  

   ☎️ 0965412222
   ☎️0968670067
   ☎️0965410000
   ☎️0942404444

🏃For more info .follow us on telegram :-
t.me/eahci",2024-10-06 12:48:06+00:00,photos\@EAHCI_2391.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2390,"💥
#የሞያ ፈቃድ በቅርቡ ለምታሳድሱ  💥             
#CPD_(+Online )
#መስከረም 29/ 2017 ይጀምራል❗️

# Infection Prevention(15 CEU)

ለሁሉም የጤና ባለሞያዎች በሁሉም ክልሎችና ከተሞች ላላችችሁ❗
--------------------------------------------
☎️0942404444 
☎️0965410000
☎️0965412222
☎️0462124400  
    Ethio-American CPD center & Health Consultancy.
🏃We Are Committed To Excellence In Medical Trainings❗️
-join our telegram channel 
T.me/eahci",2024-10-06 08:00:58+00:00,photos\@EAHCI_2390.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2389,"Baga Ayyaana Irreechaa nagaan geessan!
መልካም የኢሬቻ በዓል! 
Ayyaana Gaarii!",2024-10-05 11:41:20+00:00,photos\@EAHCI_2389.jpg
